品牌,型号,类型,tags,上牌时间(年),里程数(万公里),价格(万)
宝马,3系 2017款 320Li 时尚型,自动,|0次过户|,2017,7,9.8
大众,帕萨特 2019款 330TSI 豪华版 国VI,自动,|0次过户|,2018,7.5,9.46
领克,03 2019款 1.5TD DCT劲Pro版 国VI,自动,|0次过户|,2019,3.6,6.06
Jeep,指南者 2017款 200T 自动驭享版,自动,|新上架||0次过户|,2016,9,4
吉利汽车,缤越 2020款 PRO 260T DCT骑士,自动,|0次过户|,2020,5.3,4.28
雪佛兰,科鲁兹 2011款 1.6L SL天地版 AT,自动,|0次过户|,2010,9,0.95
丰田,威驰 2019款 1.5L CVT创行版,自动,|新上架||0次过户|,2018,5,3.9
宝马,X1 2016款 sDrive18Li 豪华型,自动,,2016,8.2,6.88
奥迪,A5 2012款 2.0TFSI Sportback,自动,|新上架||0次过户|,2011,10,4.75
比亚迪,S7 2016款 2.0T 自动尊贵型,自动,|0次过户|,2015,8.6,2.2
哈弗,F7 2019款 1.5T 两驱i潮 国VI,自动,|0次过户|,2019,7.6,4.88
雪佛兰,赛欧 2011款 三厢 1.4L AMT幸福版,自动,,2010,13,0.75
奥迪,Q5 2015款 40TFSI 舒适型,自动,|0次过户|,2014,9.8,8.8
名爵,6 2012款 掀背 1.8L 自动驾值版,自动,|0次过户|,2011,11.8,1.06
丰田,卡罗拉 2021款 1.2T SCVT精英SPORT版,自动,|0次过户|,2021,2.6,6.58
福特,蒙迪欧 2013款 1.5L GTDi180时尚型,自动,|0次过户|,2014,12,3.5
雪佛兰,科帕奇(进口) 2010款 3.2 AT 7座旗舰型,自动,|0次过户|,2009,12.5,1.28
本田,飞度 2011款 1.5L 自动豪华版,自动,,2010,12.8,1.98
奥迪,A6L 2018款 30周年年型 TFSI 进取型,自动,|新上架||0次过户|,2018,6,14.58
大众,高尔夫 2018款 1.6L 自动舒适型,自动,|0次过户|,2018,8,5.3
宝马,3系 2013款 320Li 时尚型,自动,|新上架||0次过户|,2013,8,5.8
丰田,RAV4荣放 2020款 2.0L CVT四驱风尚版,自动,|0次过户|,2019,3.8,10.55
本田,缤智 2015款 1.5L CVT两驱舒适型,自动,|新上架||0次过户|,2015,6.5,4.5
大众,迈腾 2018款 330TSI DSG 领先型,自动,|0次过户|,2018,6,8.5
名爵,6 2019款 20T 手动Trophy高铁版,手动,|0次过户|,2020,5.3,4.38
众泰,SR9 2017款 2.0T 自动极致之巅版,自动,|0次过户|,2017,8,2.58
丰田,亚洲龙 2019款 2.0L 进取版 国VI,自动,|0次过户|,2018,8.3,8.85
别克,威朗 2019款 三厢 20T 双离合领先型,自动,|新上架||0次过户|,2019,6.9,4.88
奥迪,Q2L 2018款 35TFSI 进取动感型 国V,自动,|0次过户|,2018,6.5,8.35
奥迪,A6L 2016款 TFSI 技术型,自动,|新上架||0次过户|,2016,8,11.58
大众,凌渡 2017款 280TSI DSG舒适版,自动,|新上架||0次过户|,2017,6.3,5.68
长安,逸动 2021款 PLUS 蓝鲸NE 1.4T GDI DCT尊贵型,自动,|0次过户|,2020,4.5,4.1
奥迪,TT 2014款 TT Coupe 45 TFSI 劲动型,自动,|0次过户|,2013,9.4,8.3
宝马,5系 2017款 525Li 豪华设计套装,自动,|新上架||0次过户|,2017,6.3,13.28
比亚迪,S7 2016款 2.0T 自动豪华型,自动,|0次过户|,2015,8,1.97
吉利汽车,缤越 2019款 260T DCT猎手 国V,自动,|0次过户|,2019,5,2.98
福特,福克斯 2012款 两厢 1.6L 自动风尚型,自动,|0次过户|,2011,10.8,1.85
福特,锐界 2015款 2.0T GTDi 两驱豪锐型,自动,|0次过户|,2015,9,6.18
日产,轩逸 2022款 改款 经典 1.6XL CVT豪华版,自动,|0次过户||原厂质保|,2022,1,5.48
本田,雅阁 2015款 2.4L EX 豪华版,自动,|0次过户|,2015,9,6.28
宝马,3系 2015款 320i 进取型,自动,|0次过户|,2014,9.2,6.73
现代,名图 2014款 1.8L 自动舒适型GL,自动,|0次过户|,2015,8.6,3.58
奔驰,GLK级 2013款 GLK 300 4MATIC 动感天窗型,自动,|0次过户|,2013,8,7.38
马自达,阿特兹 2014款 2.0L 蓝天豪华版,自动,,2015,9,4.66
魏牌,VV7 2017款 2.0T 豪华型,自动,|0次过户|,2016,8,4.38
林肯,MKC 2017款 2.0T 两驱尊享版,自动,|0次过户|,2018,5.8,8.38
起亚,K3 2016款 1.4T 自动GL,自动,|0次过户|,2016,6,3.88
大众,桑塔纳 2021款 1.5L 自动风尚版,自动,|新上架||0次过户|,2021,1,4.65
福特,翼虎 2015款 1.5L GTDi 两驱风尚型,自动,|新上架||0次过户|,2015,7.8,4
宝马,5系 2017款 525Li 豪华设计套装,自动,|新上架||0次过户|,2016,9,12.88
大众,探岳 2020款 280TSI 两驱舒适智联版,自动,|0次过户|,2019,5,5.98
荣威,RX5 2018款 20T 两驱自动旗舰版,自动,|0次过户|,2018,5.6,3.85
奥迪,A6L 2011款 2.4L 豪华型,自动,|0次过户|,2011,12,3.82
大众,高尔夫 2012款 1.4TSI 自动舒适型,自动,|0次过户|,2012,11,2.68
日产,天籁 2016款 2.0L XE 时尚版,自动,|0次过户|,2016,8,5.18
Jeep,指南者 2019款 200TS 自动悦享互联网大屏版,自动,|0次过户|,2019,3.6,5.98
吉利汽车,博越 2020款 1.8TD DCT智联PRO,自动,|新上架||0次过户|,2020,6.8,5.68
长安,CS75 PLUS 2020款 2.0T 自动领航型,自动,|0次过户|,2020,3,6.18
本田,CRV 2010款 2.0L 自动两驱都市版,自动,|0次过户|,2010,9.9,2.65
比亚迪,宋MAX 2019款 1.5T 自动智联睿逸天窗型 7座 国VI,手动,|新上架||0次过户|,2019,8,4.28
大众,帕萨特 2019款 330TSI 精英版 国VI,自动,|0次过户|,2019,6.4,10.38
奇瑞,艾瑞泽8 2022款 1.6T DCT优,自动,|0次过户||原厂质保|,2021,2.8,5.13
奔驰,C级 2015款 C 400 L 基本型,变速箱,|新上架||0次过户|,2015,6.5,6.8
名爵,3 2011款 1.5L AMT精英版,自动,|0次过户|,2010,9.5,0.88
本田,思域 2022款 240TURBO CVT劲动版,自动,|0次过户||原厂质保|,2022,0.8,8.18
别克,君威 2014款 2.0L 精英时尚型,自动,|0次过户|,2014,12,2.56
长安欧尚,X5 2021款 改款 1.5T DCT精英型,自动,|0次过户|,2020,3.4,2.98
本田,型格 2022款 240TURBO CVT科技版,自动,|准新车||0次过户||原厂质保|,2022,3,7.88
丰田,亚洲龙 2019款 2.0L 进取版 国VI,自动,|0次过户|,2019,7,10.38
马自达,CX5 2021款 2.0L 自动两驱舒适型,自动,|0次过户|,2020,5.3,8.8
丰田,凯美瑞 2018款 2.0E 精英版,自动,|0次过户|,2018,7.5,7.89
长安,CS95 2019款 2.0T 两驱精英型,自动,|0次过户|,2019,5.6,8.68
宝马,1系(进口) 2012款 116i 领先型,自动,,2011,13.2,3.38
捷豹,XF 2015款 XF 3.0 AWD,变速箱,|0次过户|,2014,9.2,6.68
奇瑞,艾瑞泽5 2021款 PRO 1.5L 手动青春版,手动,|0次过户||原厂质保|,2021,5.2,2.98
大众,凌渡 2019款 280TSI DSG舒适版 国V,自动,|0次过户|,2021,3.2,7.9
宝马,X5(进口) 2011款 xDrive35i 领先型,自动,|0次过户|,2010,11.3,5.46
日产,轩逸 2018款 经典 1.6XE CVT舒适版,自动,|0次过户|,2018,7,3.02
捷豹,XEL 2020款 2.0T 200PS RDYNAMIC S进取运动版,自动,|0次过户||原厂质保|,2021,3.5,13.38
日产,天籁 2014款 公爵 2.5L XV尊享版,自动,|0次过户|,2014,10,5.18
别克,英朗 2015款 15N 自动进取型,自动,|新上架||0次过户|,2015,6.5,2.55
名爵,锐行 2015款 1.5T 自动风尚版,自动,|0次过户|,2014,6.5,0.87
奥迪,A6L 2018款 30周年年型 30 FSI 风尚型,自动,|0次过户|,2017,9,17.88
荣威,550 2012款 550 1.8T 自动足金限量版,自动,|0次过户|,2011,9,0.75
路虎,揽胜极光(进口) 2013款 黑白版,变速箱,|新上架||0次过户|,2013,8.5,3.5
大众,一汽CC 2019款 330TSI 华颜版 国VI,自动,|0次过户|,2018,5.8,15
众泰,SR9 2017款 2.0T 自动极致之梦版,自动,|0次过户|,2017,7,2.58
本田,凌派 2017款 1.8L CVT豪华特装版,自动,|0次过户|,2017,7.9,4.58
大众,凌渡 2017款 280TSI DSG舒适版,自动,|0次过户|,2017,7,4.11
别克,GL8 2011款 2.4L CT豪华商务舒适版,自动,|新上架||0次过户|,2010,12.6,5.2
长安,CS55 2018款 1.5T 自动炫彩型 国V,自动,|0次过户|,2018,3,2.17
奔驰,A级(进口) 2020款 奔驰A级 改款 A 200 L 运动轿车时尚型,自动,|0次过户|,2020,4.6,11.88
丰田,卡罗拉 2018款 1.2T SCVT GL智享版,自动,|0次过户|,2018,7,4.88
众泰,大迈X5 2015款 1.5T CVT掌柜型 国IV,自动,|0次过户|,2014,8.6,1.19
别克,英朗 2019款 18T 自动互联精英型 国V,自动,|新上架||0次过户|,2018,6,3.3
丰田,凯美瑞 2015款 骏瑞 2.0S 凌动版,自动,|0次过户|,2015,9.8,5.68
大众,途观 2017款 300TSI 自动两驱丝绸之路舒适版,自动,|新上架||0次过户|,2016,6,7
长安欧尚,X7 2020款 试装车,变速箱,|新上架||0次过户|,2020,2,2.5
大众,一汽CC 2016款 1.8TSI 豪华型,自动,|新上架||0次过户|,2015,10,6.1
福特,福克斯 2017款 两厢 EcoBoost 125 自动超能风尚型智行版,自动,|0次过户|,2016,7,3.6
奥迪,Q5 2015款 35 TFSI 标准型,手动,|新上架||0次过户|,2015,7.5,6.68
日产,蓝鸟 2016款 1.6L CVT炫酷版,自动,|0次过户|,2017,9,3.92
Jeep,自由光 2016款 2.0L 领先版,自动,|新上架||0次过户|,2015,5,4.5
福特,蒙迪欧致胜 2008款 2.3L 至尊版,自动,|0次过户|,2008,8,0.88
马自达,3 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V,自动,|新上架||0次过户|,2016,6,4
宝马,X6 2011款 xDrive35i,自动,,2010,12,6.98
吉利汽车,博越 2016款 1.8TD 自动智联型,自动,|0次过户|,2016,8,2.05
长安,CS35 2015款 1.6L 自动豪华型 国IV,自动,|新上架||0次过户|,2014,7.6,1.9
长安,UNIT 2020款 1.5T 豪华型,自动,|0次过户|,2021,2,5.68
Jeep,指南者 2017款 200T 自动舒享版,自动,|0次过户|,2016,8,4.08
广汽传祺,传祺GS8 2017款 320T 两驱精英版,自动,|0次过户|,2017,8.3,5.88
起亚,K3 2020款 1.5L CVT智享互联版,自动,|0次过户||原厂质保|,2021,5,6.58
大众,一汽CC 2013款 2.0TSI 尊贵型,自动,|0次过户|,2014,10,5.2
奔驰,SLK级 2011款 SLK 200 时尚型,自动,|0次过户|,2010,10.3,11.5
吉利汽车,博越 2018款 1.8TD 自动两驱智联型4G互联版,自动,|0次过户|,2017,5.6,4.18
福特,蒙迪欧 2013款 1.5L GTDi180舒适型,自动,|0次过户|,2014,13,3.18
奥迪,A5 2012款 2.0TFSI Cabriolet,自动,|0次过户|,2012,13,8.18
陆风,X7 2016款 2.0T 全景尊贵版,自动,|新上架||0次过户|,2016,7,2.98
大众,一汽CC 2015款 1.8TSI 尊贵型,自动,|0次过户|,2014,7,5.38
日产,轩逸 2018款 1.6XV CVT尊享版,自动,|0次过户|,2018,5.6,4.48
长安,CS55 2018款 1.5T 自动炫色型 国V,自动,|0次过户|,2019,5,4.18
福特,Mustang 2015款 2.3T 性能版,自动,|0次过户|,2016,6,11.28
大众,一汽CC 2019款 330TSI 华颜版 国VI,自动,|0次过户|,2019,7,10.58
现代,途胜 2018款 1.6T 双离合两驱15周年特别版,自动,|0次过户|,2018,8.5,5.58
福特,福睿斯 2015款 1.5L 自动舒适型,自动,|0次过户|,2014,9.4,2.18
丰田,凯美瑞 2019款 2.0E 精英版 国VI,自动,|0次过户|,2019,6.5,8.68
大众,帕萨特 2013款 1.8TSI DSG尊荣版,自动,|0次过户|,2013,10.9,4.45
沃尔沃,XC60 2015款 T5 智行版,自动,|0次过户|,2014,8.6,6.35
丰田,卡罗拉 2022款 1.2T SCVT先锋PLUS版,自动,|准新车||0次过户||原厂质保|,2022,4,5.68
现代,名图 2016款 1.8L 自动尊贵型DLX,自动,|新上架||0次过户|,2016,7,4.23
名爵,6 2019款 20T 自动星辉版,自动,|0次过户|,2018,4.8,3.6
奥迪,A4L 2013款 35 TFSI 自动标准型,自动,|新上架||0次过户|,2014,8,6
福特,蒙迪欧 2017款 EcoBoost 180 时尚型,自动,|0次过户|,2016,6.5,5.16
雪佛兰,迈锐宝XL 2020款 Redline 550T 自动锐动版,自动,|0次过户|,2020,5.9,6.88
奔驰,C级 2020款 改款 C 260 L 运动版,自动,|0次过户|,2020,3,18.88
凯迪拉克,ATSL 2017款 28T 技术型,自动,|0次过户|,2018,6,8.7
奥迪,Q5 2013款 40 TFSI 舒适型,自动,|0次过户|,2012,8.8,7.35
吉利汽车,博瑞 2021款 1.8T 领航版+,自动,|0次过户||原厂质保|,2021,5,3.89
福特,翼虎 2013款 1.6L GTDi 两驱风尚型,自动,|0次过户|,2013,10,2.88
福特,福克斯 2011款 三厢 1.8L 自动时尚型,自动,|0次过户|,2010,11,0.9
起亚,智跑 2015款 2.0L 自动两驱版GL,自动,|新上架||0次过户|,2015,7.5,7.8
起亚,K5 2012款 2.0L 自动GLS,自动,|0次过户|,2011,11,1.99
吉利汽车,帝豪 2017款 三厢百款 1.5L CVT豪华型,自动,|0次过户|,2016,7.8,2.18
别克,君威 2017款 30H 精英型,自动,|0次过户|,2017,6.2,5.48
福特,蒙迪欧致胜 2010款 2.3L 豪华型,自动,|0次过户|,2010,11.5,1.15
福特,福克斯 2017款 两厢 EcoBoost 180 自动精英型,自动,|0次过户|,2018,8.2,4.28
奔驰,GLK级(进口) 2013款 GLK 250 4MATIC,变速箱,|新上架||0次过户|,2013,8.5,4.5
大众,高尔夫 2016款 230TSI 自动豪华型,自动,|0次过户|,2015,6.9,4.88
长安,睿骋 2014款 1.8T 自动尊贵周年版 国V,自动,|0次过户|,2014,10,1.88
奔驰,B级 2012款 B 180,自动,|0次过户|,2011,10,3.85
长安,逸动 2021款 PLUS 蓝鲸NE 1.4T GDI DCT尊贵型,自动,|0次过户||原厂质保|,2021,2.8,4.18
本田,CRV 2017款 基本型,变速箱,|新上架||0次过户|,2018,4,6.25
凯迪拉克,XTS 2017款 28T 技术型,自动,|0次过户|,2017,6,7.98
福特,福克斯 2012款 三厢 1.6L 自动舒适型,自动,|0次过户|,2011,9.8,1.45
红旗,H5 2019款 30TD 型动版,自动,|0次过户|,2019,5.3,4.88
别克,君越 2014款 2.0T SIDI 智享旗舰型,自动,|0次过户|,2014,10,4.08
奥迪,Q3 2015款 35 TFSI quattro 技术型,自动,|0次过户|,2014,9.4,4.85
奇瑞,瑞虎8 2019款 1.6TGDI 自动精英型,自动,|0次过户|,2020,3.6,5.28
凯迪拉克,XT5 2016款 25T 技术型,自动,|0次过户|,2015,6.8,8.6
雪佛兰,科帕奇 2012款 2.4L 四驱旗舰版 7座,自动,|0次过户|,2013,8.6,2.68
福特,蒙迪欧 2013款 2.0L GTDi200豪华型,自动,|0次过户|,2014,10,3.99
丰田,皇冠 2015款 2.5L 行政版,自动,|0次过户|,2014,8.6,9.25
奔驰,C级 2015款 改款 C 200 L 运动型,自动,|新上架||0次过户|,2015,9,10.5
吉利汽车,帝豪S 2021款 1.4T CVT豪华型,自动,|0次过户|,2021,3.2,4.58
奔驰,C级 2019款 改款 C 260 L 运动版,自动,|新上架||0次过户|,2019,7.6,16.88
众泰,T600 2016款 2.0T DCT豪华型,自动,,2015,8,1.36
荣威,i6 2018款 20T 自动旗舰版,自动,|0次过户|,2017,5.8,2.88
本田,奥德赛 2009款 2.4L 舒适版,自动,|0次过户|,2014,9.3,5.38
凯迪拉克,ATSL 2017款 28T 时尚型,自动,|0次过户|,2017,8,7.68
别克,英朗 2016款 15N 自动进取型,自动,|0次过户|,2016,10.5,2.88
本田,雅阁 2016款 2.0L 舒适版,自动,|新上架||0次过户|,2016,5.5,6.45
凯迪拉克,XT5 2017款 周年庆版 28T 四驱豪华型,自动,|0次过户|,2018,7,11.58
奥迪,Q3 2013款 35 TFSI 进取型,自动,|新上架||0次过户|,2013,7.5,4.95
大众,Polo 2018款 1.5L 自动安享型,自动,|0次过户|,2018,8.1,3.99
日产,奇骏 2017款 2.5L CVT至尊版 4WD,自动,,2018,6.5,10.88
大众,帕萨特 2020款 330TSI 豪华版 国VI,自动,|0次过户|,2020,3.8,11.68
宝马,3系 2021款 改款 325Li M运动曜夜套装,自动,|0次过户|,2021,4.1,18.58
雪佛兰,科沃兹 2016款 1.5L 自动欣悦版,自动,|0次过户|,2016,8,2.88
大众,途观 2015款 1.8TSI 自动两驱风尚版,自动,|0次过户|,2015,9,3.68
长安,CS75 PLUS 2020款 1.5T 自动精英型,自动,|0次过户|,2020,6,3.98
长安,睿骋 2013款 1.8T 自动尊贵型 国V,自动,|0次过户|,2013,10.9,1.98
马自达,3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,自动,|新上架||0次过户|,2017,9.8,4.38
长安,UNIK 2021款 2.0T 豪华型,自动,|0次过户|,2020,3.7,7.35
日产,天籁 2011款 2.0L XL舒适版,自动,|新上架||0次过户|,2011,8,2.19
起亚,KX3傲跑 2020款 1.5L CVT潮流版,自动,|0次过户|,2019,1.5,6.28
本田,锋范 2018款 1.5L CVT 型动版,自动,|0次过户|,2018,6.8,3.88
起亚,智跑 2019款 2.0L 自动智享豪华版,自动,|0次过户|,2018,7.5,5.76
福特,蒙迪欧 2017款 改款 EcoBoost 180 豪华型,自动,|0次过户|,2017,7,5.76
奥迪,A5 2013款 Sportback 40 TFSI,自动,,2012,11.6,5.96
福特,蒙迪欧 2013款 1.5L GTDi180时尚型,自动,|0次过户|,2013,8,3.28
凯迪拉克,XT5 2016款 28T 四驱豪华型,自动,|0次过户|,2018,7.6,11.88
凯迪拉克,XTS 2016款 28T 技术型,自动,|0次过户|,2016,7.8,6.88
名爵,3 2013款 1.3L AMT舒适版,自动,|0次过户|,2012,13,0.39
奥迪,A6L 2017款 2.5 自动 30 FSI 舒适型,自动,|0次过户|,2016,8,11.12
马自达,3 昂克赛拉 2016款 三厢 1.5L 自动豪华型,自动,|新上架||0次过户|,2016,7.5,4.08
大众,帕萨特 2019款 330TSI 精英版 国VI,自动,|0次过户|,2019,5,9.18
本田,冠道 2019款 240TURBO 两驱尊享·星空限量版,自动,|0次过户|,2018,9.3,10.56
奥迪,Q5 2010款 2.0TFSI 进取型,自动,,2009,12,4.08
吉利汽车,帝豪GL 2020款 1.4T CVT豪华型,自动,|0次过户|,2019,3.8,3.88
吉利汽车,帝豪GL 2020款 1.4T CVT豪华型,自动,|0次过户|,2020,3.1,4.18
领克,03 2019款 2.0TD 自动劲Pro版,自动,|新上架||0次过户|,2019,7.6,7.68
大众,凌渡 2019款 230TSI DSG风尚版 国V,自动,|0次过户|,2020,3,6.18
现代,伊兰特 2021款 1.5L LUX尊贵版,自动,|0次过户|,2020,3.4,5.38
大众,宝来 2021款 1.5L 自动舒适智联版,自动,|0次过户||原厂质保|,2021,2.8,6.08
福特,锐界 2015款 2.0T GTDi 两驱精锐型,自动,,2014,8.8,4.78
现代,菲斯塔 2019款 280TGDi 智速版 国V,自动,|0次过户|,2019,8.2,6.18
日产,轩逸 2019款 1.6XE CVT舒适版 国VI,自动,|0次过户|,2019,5.6,4.58
日产,天籁 2011款 2.0L XL舒适版,自动,,2010,13.9,1.88
长安,逸动 2018款 高能版 1.6L GDI 自动先锋型 国V,自动,|0次过户|,2020,3.1,3.68
马自达,CX4 2021款 2.0L 自动两驱蓝天品位版,自动,|0次过户|,2020,4,7.88
宝马,1系 2021款 改款 120i M运动曜夜版,自动,|0次过户|,2021,4,9.58
奥迪,Q5 2013款 40 TFSI 进取型,自动,|0次过户|,2013,11,6.68
捷豹,XF 2012款 XF 3.0L V6伦敦限量版,自动,|0次过户|,2011,11.5,5.18
大众,速腾 2020款 280TSI DSG舒适型 国VI,自动,|0次过户|,2021,2.7,7.78
大众,帕萨特 2017款 280TSI DSG尊雅版,自动,|新上架||0次过户|,2016,7,6.7
雪佛兰,迈锐宝 2018款 530T 自动舒适版,自动,|0次过户|,2017,7.5,4.28
雪铁龙,C3XR 2017款 1.6L 自动时尚型,自动,|新上架||0次过户|,2016,6,3
雪佛兰,科鲁兹 2011款 1.6L SL天地版 AT,自动,|0次过户|,2010,10,0.95
名爵,6 2020款 1.5T 自动领潮风尚版,自动,|0次过户|,2019,5.6,4.28
福特,蒙迪欧 2017款 EcoBoost 180 时尚型,自动,|0次过户|,2018,5.3,5.66
宝马,3系 2015款 320i 超悦版时尚型,自动,|新上架|,2014,10,6.6
领克,03 2021款 1.5TD DCT劲 冠军版,自动,|0次过户|,2021,3.6,7.18
日产,逍客 2016款 2.0L CVT精英版,自动,|0次过户|,2015,8.8,4.35
日产,奇骏 2017款 2.0L CVT时尚版 2WD,自动,|0次过户|,2016,6.5,5.8
沃尔沃,S60 2014款 S60L 2.0T 智行版,自动,|新上架||0次过户|,2013,10.5,4
现代,北京ix35 2021款 2.0L 自动两驱GLS领先版,自动,|0次过户|,2021,3,6.78
雪铁龙,C5 2013款 2.0L 自动尊享型,自动,|新上架|,2012,12.5,2.35
宝马,X1 2021款 改款 sDrive25Li 领先型,自动,|0次过户||原厂质保|,2021,3.5,14.58
日产,逍客 2015款 2.0XL 酷火 CVT 2WD,自动,|新上架||0次过户|,2014,9,3.8
长安,逸动 2020款 PLUS 蓝鲸NE 1.4T GDI DCT锋尚型,自动,|新上架||0次过户|,2019,5,4.1
别克,GL8 2006款 陆尊 3.0L CT 舒适版,自动,,2008,12,1.26
广汽传祺,传祺GS8 2017款 320T 两驱豪华智联版（七座）,自动,|0次过户|,2017,7.5,5.88
吉利汽车,博瑞 2015款 1.8T 标准型,自动,|0次过户|,2014,7,2.45
福特,翼虎 2019款 EcoBoost 180 两驱精翼型 国VI,自动,|新上架||0次过户|,2018,4,8.5
长安欧尚,X5 2021款 改款 1.5T DCT精英型,自动,|新上架||0次过户|,2020,6,3
长安,睿骋CC 2018款 改款 1.5T 自动智雅型,自动,|新上架||0次过户|,2018,6.2,2.88
保时捷,Macan 2016款 Macan 2.0T,自动,|0次过户|,2016,6.8,16.8
启辰,T70X 2015款 2.0L CVT睿趣运动版,自动,|新上架||0次过户|,2014,9,2.5
奥迪,Q3 2017款 30 TFSI 标准型,自动,|新上架||0次过户|,2016,7,7.2
奔驰,E级 2014款 改款 E 260 L 运动型,自动,,2013,11.6,8.68
丰田,雷凌 2019款 185T CVT进取版 国VI,自动,|0次过户|,2019,5,3.4
福特,蒙迪欧致胜 2011款 2.0L GTDi200时尚型,自动,|0次过户|,2010,12,1.45
丰田,汉兰达 2012款 2.7L 两驱5座精英版,自动,|新上架||0次过户|,2011,12.5,6.1
现代,名图 2016款 1.8L 自动智能型GLS,自动,|新上架||0次过户|,2016,7.9,3.58
雪佛兰,迈锐宝 2017款 1.5T 自动舒适版,自动,|新上架||0次过户|,2016,6.2,3.95
现代,领动 2016款 1.6L 自动智炫・青春型,自动,|新上架||0次过户|,2015,7,3.15
起亚,K3 2020款 1.5L CVT新锐天窗版,自动,|0次过户|,2020,5.2,4.88
长安欧尚,X5 2021款 1.5T DCT旗舰型,自动,|新上架||0次过户||原厂质保|,2021,3.2,4.68
福特,蒙迪欧 2013款 1.5L GTDi180舒适型,自动,|新上架||0次过户|,2012,10,2.75
奥迪,A4L 2015款 35 TFSI 自动舒适型,自动,|0次过户|,2015,7,6.78
宝马,X5(进口) 2014款 基本型,变速箱,|新上架||0次过户|,2014,8.5,5.5
大众,途观 2016款 300TSI 自动两驱豪华版,自动,|0次过户|,2016,12.1,6.18
奥迪,Q5 2010款 2.0TFSI 进取型,自动,|0次过户|,2009,11.6,3.98
广汽传祺,传祺GS8 2017款 320T 两驱精英版（五座）,自动,|0次过户|,2017,9.2,5.56
保时捷,Cayenne 2010款 Edition SportDesign 限量版,变速箱,|新上架||0次过户|,2010,9.2,4.98
英菲尼迪,Q50L 2018款 2.0T 逸享版 国V,自动,|0次过户|,2018,6,8.48
起亚,K3 2016款 1.6L 自动GL,自动,|0次过户|,2017,5,2.98
本田,思域 2016款 220TURBO CVT豪华版,自动,|0次过户|,2015,7.9,4.98
宝马,X3(进口) 2014款 基本型,变速箱,|新上架||0次过户|,2015,7.5,6.5
标致,5008 2017款 350THP 5座精英版,自动,|0次过户|,2017,7.9,7.98
哈弗,H6 2018款 红标 2.0T 自动豪华型,自动,|0次过户|,2018,5,4.88
别克,英朗 2012款 GT 1.6L 自动时尚版,自动,|0次过户|,2011,9.8,1.6
福特,蒙迪欧致胜 2011款 2.0L GTDi200豪华型,自动,|0次过户|,2012,11,1.58
奥迪,Q7 2010款 3.0 TDI quattro 领先型,自动,,2009,11.8,7
哈弗,H7 2019款 2.0T 悦享型 国VI,自动,|0次过户|,2019,5.7,5.58
宝马,5系(进口) 2012款 520i 典雅型,自动,|0次过户|,2011,14.5,6.5
广汽传祺,传祺M6 2019款 270T 自动尊荣版（七座）国V,自动,|0次过户|,2019,5.5,7.18
Jeep,指南者(进口) 2013款 2.4L 四驱运动版,变速箱,|0次过户|,2012,11.8,3.26
雪佛兰,沃兰多 2018款 530T 自动劲享版（5+2款） 国V,自动,|0次过户|,2019,7.2,4.1
大众,迈腾 2015款 改款 1.8TSI 豪华型,自动,|0次过户|,2015,8.6,5.68
长安欧尚,X7 2020款 1.5T 自动精英型,自动,|0次过户|,2020,6.5,4.28
大众,朗逸 2021款 280TSI DSG舒适版,自动,|0次过户||原厂质保|,2021,2,7.58
福特,金牛座 2017款 EcoBoost 245 时尚型,自动,|0次过户|,2018,7,7.88
捷豹,XF 2013款 XF 3.0 SC 风华版,自动,|0次过户|,2013,11,5.88
奥迪,Q5 2016款 40 TFSI 进取型,自动,|0次过户|,2015,9.9,8.23
宝马,X6 2011款 xDrive35i,自动,|新上架||0次过户|,2011,8.8,16
现代,悦动 2011款 1.6L 自动舒适型,自动,|0次过户|,2010,8.5,1.35
大众,Polo 2014款 1.6L 自动舒适版,自动,|0次过户|,2013,9.4,2.55
奥迪,A4L 2020款 40 TFSI quattro 豪华动感型,自动,|0次过户|,2020,10,14.8
起亚,K5 2014款 2.0L 自动GL,自动,,2013,11.6,3.18
福特,蒙迪欧 2017款 改款 EcoBoost 200 时尚型,自动,|0次过户|,2017,9.6,5.38
福特,福克斯 2012款 两厢 1.6L 自动舒适型,自动,|0次过户|,2012,11,1.98
起亚,智跑 2015款 2.0L 自动两驱版DLX,自动,|0次过户|,2014,8.6,3.48
道奇,酷威 2013款 2.4L 两驱尊尚版,自动,|0次过户|,2013,10,2.99
丰田,汉兰达 2012款 2.7L 两驱7座豪华版,自动,|0次过户|,2013,11.3,7.68
起亚,K3 2017款 1.6L 自动15周年特别版GLS,自动,|新上架||0次过户|,2018,4.6,4.1
吉利汽车,帝豪 2018款 1.5L CVT豪华型,自动,|0次过户|,2017,6.6,2.64
宝马,5系 2014款 525Li 豪华设计套装,自动,|0次过户|,2014,8.9,9.69
起亚,K5 2014款 2.0L 自动GL,自动,|0次过户|,2013,9.1,3.08
起亚,K5 2016款 2.0L hybrid GLS,自动,|0次过户|,2016,8,4.38
奇瑞,艾瑞泽5 2019款 1.5L CVT青春版 国V,自动,|0次过户|,2018,3.2,2.68
宝马,7系 2009款 730Li领先型,自动,,2008,11.9,6.58
名爵,6 2018款 20T 手动豪华智联版 国VI,手动,|有VIN码||0次过户|,2019,1,4.18
